twin_id,product_id,return_id,current_state,wear_and_tear_score
TWIN-PROD-0978-RTN-0001,PROD-0978,RTN-0001,INSPECTED,4
TWIN-PROD-0919-RTN-0002,PROD-0919,RTN-0002,INSPECTED,2
TWIN-PROD-0954-RTN-0003,PROD-0954,RTN-0003,INSPECTED,0
TWIN-PROD-0408-RTN-0004,PROD-0408,RTN-0004,INSPECTED,0
TWIN-PROD-0742-RTN-0005,PROD-0742,RTN-0005,INSPECTED,0
TWIN-PROD-0514-RTN-0006,PROD-0514,RTN-0006,INSPECTED,5
TWIN-PROD-0835-RTN-0007,PROD-0835,RTN-0007,INSPECTED,0
TWIN-PROD-0626-RTN-0008,PROD-0626,RTN-0008,INSPECTED,0
TWIN-PROD-0419-RTN-0009,PROD-0419,RTN-0009,INSPECTED,0
TWIN-PROD-0997-RTN-0010,PROD-0997,RTN-0010,INSPECTED,0
TWIN-PROD-0963-RTN-0011,PROD-0963,RTN-0011,INSPECTED,0
TWIN-PROD-0264-RTN-0012,PROD-0264,RTN-0012,INSPECTED,0
TWIN-PROD-0812-RTN-0013,PROD-0812,RTN-0013,INSPECTED,0
TWIN-PROD-0789-RTN-0014,PROD-0789,RTN-0014,INSPECTED,0
TWIN-PROD-0615-RTN-0015,PROD-0615,RTN-0015,INSPECTED,0
TWIN-PROD-0727-RTN-0016,PROD-0727,RTN-0016,INSPECTED,0
TWIN-PROD-0265-RTN-0017,PROD-0265,RTN-0017,INSPECTED,0
TWIN-PROD-0057-RTN-0018,PROD-0057,RTN-0018,INSPECTED,8
TWIN-PROD-0621-RTN-0019,PROD-0621,RTN-0019,INSPECTED,0
TWIN-PROD-0447-RTN-0020,PROD-0447,RTN-0020,INSPECTED,1
TWIN-PROD-0587-RTN-0021,PROD-0587,RTN-0021,INSPECTED,0
TWIN-PROD-0081-RTN-0022,PROD-0081,RTN-0022,INSPECTED,0
TWIN-PROD-0763-RTN-0023,PROD-0763,RTN-0023,INSPECTED,0
TWIN-PROD-0856-RTN-0024,PROD-0856,RTN-0024,INSPECTED,7
TWIN-PROD-0515-RTN-0025,PROD-0515,RTN-0025,INSPECTED,0
TWIN-PROD-0767-RTN-0026,PROD-0767,RTN-0026,INSPECTED,5
TWIN-PROD-0421-RTN-0027,PROD-0421,RTN-0027,INSPECTED,0
TWIN-PROD-0803-RTN-0028,PROD-0803,RTN-0028,INSPECTED,0
TWIN-PROD-0500-RTN-0029,PROD-0500,RTN-0029,INSPECTED,0
TWIN-PROD-0680-RTN-0030,PROD-0680,RTN-0030,INSPECTED,0
TWIN-PROD-0057-RTN-0031,PROD-0057,RTN-0031,INSPECTED,4
TWIN-PROD-0227-RTN-0032,PROD-0227,RTN-0032,INSPECTED,10
TWIN-PROD-0736-RTN-0033,PROD-0736,RTN-0033,INSPECTED,0
TWIN-PROD-0145-RTN-0034,PROD-0145,RTN-0034,INSPECTED,0
TWIN-PROD-0813-RTN-0035,PROD-0813,RTN-0035,INSPECTED,0
TWIN-PROD-0608-RTN-0036,PROD-0608,RTN-0036,INSPECTED,0
TWIN-PROD-0852-RTN-0037,PROD-0852,RTN-0037,INSPECTED,8
TWIN-PROD-0862-RTN-0038,PROD-0862,RTN-0038,INSPECTED,0
TWIN-PROD-0371-RTN-0039,PROD-0371,RTN-0039,INSPECTED,0
TWIN-PROD-0670-RTN-0040,PROD-0670,RTN-0040,INSPECTED,3
TWIN-PROD-0342-RTN-0041,PROD-0342,RTN-0041,INSPECTED,0
TWIN-PROD-0794-RTN-0042,PROD-0794,RTN-0042,INSPECTED,0
TWIN-PROD-0614-RTN-0043,PROD-0614,RTN-0043,INSPECTED,0
TWIN-PROD-0160-RTN-0044,PROD-0160,RTN-0044,INSPECTED,0
TWIN-PROD-0114-RTN-0045,PROD-0114,RTN-0045,INSPECTED,8
TWIN-PROD-0997-RTN-0046,PROD-0997,RTN-0046,INSPECTED,0
TWIN-PROD-0804-RTN-0047,PROD-0804,RTN-0047,INSPECTED,3
TWIN-PROD-0965-RTN-0048,PROD-0965,RTN-0048,INSPECTED,0
TWIN-PROD-0360-RTN-0049,PROD-0360,RTN-0049,INSPECTED,3
TWIN-PROD-0711-RTN-0050,PROD-0711,RTN-0050,INSPECTED,0
TWIN-PROD-0051-RTN-0051,PROD-0051,RTN-0051,INSPECTED,8
TWIN-PROD-0576-RTN-0052,PROD-0576,RTN-0052,INSPECTED,0
TWIN-PROD-0079-RTN-0053,PROD-0079,RTN-0053,INSPECTED,0
TWIN-PROD-0964-RTN-0054,PROD-0964,RTN-0054,INSPECTED,4
TWIN-PROD-0003-RTN-0055,PROD-0003,RTN-0055,INSPECTED,0
TWIN-PROD-0207-RTN-0056,PROD-0207,RTN-0056,INSPECTED,0
TWIN-PROD-0955-RTN-0057,PROD-0955,RTN-0057,INSPECTED,0
TWIN-PROD-0249-RTN-0058,PROD-0249,RTN-0058,INSPECTED,0
TWIN-PROD-0670-RTN-0059,PROD-0670,RTN-0059,INSPECTED,0
TWIN-PROD-0771-RTN-0060,PROD-0771,RTN-0060,INSPECTED,0
TWIN-PROD-0879-RTN-0061,PROD-0879,RTN-0061,INSPECTED,3
TWIN-PROD-0355-RTN-0062,PROD-0355,RTN-0062,INSPECTED,0
TWIN-PROD-0817-RTN-0063,PROD-0817,RTN-0063,INSPECTED,0
TWIN-PROD-0966-RTN-0064,PROD-0966,RTN-0064,INSPECTED,2
TWIN-PROD-0837-RTN-0065,PROD-0837,RTN-0065,INSPECTED,3
TWIN-PROD-0103-RTN-0066,PROD-0103,RTN-0066,INSPECTED,0
TWIN-PROD-0558-RTN-0067,PROD-0558,RTN-0067,INSPECTED,0
TWIN-PROD-0351-RTN-0068,PROD-0351,RTN-0068,INSPECTED,0
TWIN-PROD-0617-RTN-0069,PROD-0617,RTN-0069,INSPECTED,9
TWIN-PROD-0107-RTN-0070,PROD-0107,RTN-0070,INSPECTED,0
TWIN-PROD-0705-RTN-0071,PROD-0705,RTN-0071,INSPECTED,0
TWIN-PROD-0969-RTN-0072,PROD-0969,RTN-0072,INSPECTED,1
TWIN-PROD-0065-RTN-0073,PROD-0065,RTN-0073,INSPECTED,0
TWIN-PROD-0604-RTN-0074,PROD-0604,RTN-0074,INSPECTED,0
TWIN-PROD-0529-RTN-0075,PROD-0529,RTN-0075,INSPECTED,3
TWIN-PROD-0595-RTN-0076,PROD-0595,RTN-0076,INSPECTED,0
TWIN-PROD-0386-RTN-0077,PROD-0386,RTN-0077,INSPECTED,0
TWIN-PROD-0320-RTN-0078,PROD-0320,RTN-0078,INSPECTED,0
TWIN-PROD-0825-RTN-0079,PROD-0825,RTN-0079,INSPECTED,5
TWIN-PROD-0155-RTN-0080,PROD-0155,RTN-0080,INSPECTED,0
TWIN-PROD-0670-RTN-0081,PROD-0670,RTN-0081,INSPECTED,5
TWIN-PROD-0583-RTN-0082,PROD-0583,RTN-0082,INSPECTED,0
TWIN-PROD-0702-RTN-0083,PROD-0702,RTN-0083,INSPECTED,7
TWIN-PROD-0062-RTN-0084,PROD-0062,RTN-0084,INSPECTED,0
TWIN-PROD-0246-RTN-0085,PROD-0246,RTN-0085,INSPECTED,0
TWIN-PROD-0589-RTN-0086,PROD-0589,RTN-0086,INSPECTED,0
TWIN-PROD-0799-RTN-0087,PROD-0799,RTN-0087,INSPECTED,0
TWIN-PROD-0091-RTN-0088,PROD-0091,RTN-0088,INSPECTED,0
TWIN-PROD-0813-RTN-0089,PROD-0813,RTN-0089,INSPECTED,0
TWIN-PROD-0438-RTN-0090,PROD-0438,RTN-0090,INSPECTED,0
TWIN-PROD-0648-RTN-0091,PROD-0648,RTN-0091,INSPECTED,0
TWIN-PROD-0627-RTN-0092,PROD-0627,RTN-0092,INSPECTED,5
TWIN-PROD-0402-RTN-0093,PROD-0402,RTN-0093,INSPECTED,0
TWIN-PROD-0155-RTN-0094,PROD-0155,RTN-0094,INSPECTED,0
TWIN-PROD-0493-RTN-0095,PROD-0493,RTN-0095,INSPECTED,5
TWIN-PROD-0097-RTN-0096,PROD-0097,RTN-0096,INSPECTED,8
TWIN-PROD-0286-RTN-0097,PROD-0286,RTN-0097,INSPECTED,1
TWIN-PROD-0507-RTN-0098,PROD-0507,RTN-0098,INSPECTED,0
TWIN-PROD-0747-RTN-0099,PROD-0747,RTN-0099,INSPECTED,0
TWIN-PROD-0559-RTN-0100,PROD-0559,RTN-0100,INSPECTED,0
TWIN-PROD-0622-RTN-0101,PROD-0622,RTN-0101,INSPECTED,0
TWIN-PROD-0894-RTN-0102,PROD-0894,RTN-0102,INSPECTED,0
TWIN-PROD-0846-RTN-0103,PROD-0846,RTN-0103,INSPECTED,6
TWIN-PROD-0679-RTN-0104,PROD-0679,RTN-0104,INSPECTED,0
TWIN-PROD-0564-RTN-0105,PROD-0564,RTN-0105,INSPECTED,0
TWIN-PROD-0657-RTN-0106,PROD-0657,RTN-0106,INSPECTED,1
TWIN-PROD-0278-RTN-0107,PROD-0278,RTN-0107,INSPECTED,0
TWIN-PROD-0283-RTN-0108,PROD-0283,RTN-0108,INSPECTED,4
TWIN-PROD-0917-RTN-0109,PROD-0917,RTN-0109,INSPECTED,0
TWIN-PROD-0678-RTN-0110,PROD-0678,RTN-0110,INSPECTED,0
TWIN-PROD-0762-RTN-0111,PROD-0762,RTN-0111,INSPECTED,1
TWIN-PROD-0371-RTN-0112,PROD-0371,RTN-0112,INSPECTED,10
TWIN-PROD-0709-RTN-0113,PROD-0709,RTN-0113,INSPECTED,0
TWIN-PROD-0020-RTN-0114,PROD-0020,RTN-0114,INSPECTED,8
TWIN-PROD-0048-RTN-0115,PROD-0048,RTN-0115,INSPECTED,9
TWIN-PROD-0543-RTN-0116,PROD-0543,RTN-0116,INSPECTED,0
TWIN-PROD-0143-RTN-0117,PROD-0143,RTN-0117,INSPECTED,0
TWIN-PROD-0964-RTN-0118,PROD-0964,RTN-0118,INSPECTED,0
TWIN-PROD-0907-RTN-0119,PROD-0907,RTN-0119,INSPECTED,0
TWIN-PROD-0822-RTN-0120,PROD-0822,RTN-0120,INSPECTED,3
TWIN-PROD-0803-RTN-0121,PROD-0803,RTN-0121,INSPECTED,0
TWIN-PROD-0697-RTN-0122,PROD-0697,RTN-0122,INSPECTED,0
TWIN-PROD-0804-RTN-0123,PROD-0804,RTN-0123,INSPECTED,9
TWIN-PROD-0546-RTN-0124,PROD-0546,RTN-0124,INSPECTED,0
TWIN-PROD-0871-RTN-0125,PROD-0871,RTN-0125,INSPECTED,0
TWIN-PROD-0930-RTN-0126,PROD-0930,RTN-0126,INSPECTED,0
TWIN-PROD-0686-RTN-0127,PROD-0686,RTN-0127,INSPECTED,4
TWIN-PROD-0503-RTN-0128,PROD-0503,RTN-0128,INSPECTED,8
TWIN-PROD-0801-RTN-0129,PROD-0801,RTN-0129,INSPECTED,0
TWIN-PROD-0616-RTN-0130,PROD-0616,RTN-0130,INSPECTED,0
TWIN-PROD-0600-RTN-0131,PROD-0600,RTN-0131,INSPECTED,3
TWIN-PROD-0907-RTN-0132,PROD-0907,RTN-0132,INSPECTED,0
TWIN-PROD-0860-RTN-0133,PROD-0860,RTN-0133,INSPECTED,4
TWIN-PROD-0471-RTN-0134,PROD-0471,RTN-0134,INSPECTED,9
TWIN-PROD-0798-RTN-0135,PROD-0798,RTN-0135,INSPECTED,0
TWIN-PROD-0072-RTN-0136,PROD-0072,RTN-0136,INSPECTED,0
TWIN-PROD-0371-RTN-0137,PROD-0371,RTN-0137,INSPECTED,0
TWIN-PROD-0688-RTN-0138,PROD-0688,RTN-0138,INSPECTED,2
TWIN-PROD-0436-RTN-0139,PROD-0436,RTN-0139,INSPECTED,5
TWIN-PROD-0164-RTN-0140,PROD-0164,RTN-0140,INSPECTED,0
TWIN-PROD-0839-RTN-0141,PROD-0839,RTN-0141,INSPECTED,0
TWIN-PROD-0034-RTN-0142,PROD-0034,RTN-0142,INSPECTED,0
TWIN-PROD-0323-RTN-0143,PROD-0323,RTN-0143,INSPECTED,2
TWIN-PROD-0388-RTN-0144,PROD-0388,RTN-0144,INSPECTED,1
TWIN-PROD-0669-RTN-0145,PROD-0669,RTN-0145,INSPECTED,0
TWIN-PROD-0782-RTN-0146,PROD-0782,RTN-0146,INSPECTED,10
TWIN-PROD-0356-RTN-0147,PROD-0356,RTN-0147,INSPECTED,0
TWIN-PROD-0849-RTN-0148,PROD-0849,RTN-0148,INSPECTED,5
TWIN-PROD-0741-RTN-0149,PROD-0741,RTN-0149,INSPECTED,4
TWIN-PROD-0791-RTN-0150,PROD-0791,RTN-0150,INSPECTED,0
TWIN-PROD-0477-RTN-0151,PROD-0477,RTN-0151,INSPECTED,0
TWIN-PROD-0231-RTN-0152,PROD-0231,RTN-0152,INSPECTED,0
TWIN-PROD-0457-RTN-0153,PROD-0457,RTN-0153,INSPECTED,0
TWIN-PROD-0425-RTN-0154,PROD-0425,RTN-0154,INSPECTED,2
TWIN-PROD-0189-RTN-0155,PROD-0189,RTN-0155,INSPECTED,0
TWIN-PROD-0176-RTN-0156,PROD-0176,RTN-0156,INSPECTED,0
TWIN-PROD-0750-RTN-0157,PROD-0750,RTN-0157,INSPECTED,7
TWIN-PROD-0054-RTN-0158,PROD-0054,RTN-0158,INSPECTED,0
TWIN-PROD-0781-RTN-0159,PROD-0781,RTN-0159,INSPECTED,0
TWIN-PROD-0381-RTN-0160,PROD-0381,RTN-0160,INSPECTED,0
TWIN-PROD-0755-RTN-0161,PROD-0755,RTN-0161,INSPECTED,2
TWIN-PROD-0931-RTN-0162,PROD-0931,RTN-0162,INSPECTED,0
TWIN-PROD-0139-RTN-0163,PROD-0139,RTN-0163,INSPECTED,4
TWIN-PROD-0396-RTN-0164,PROD-0396,RTN-0164,INSPECTED,0
TWIN-PROD-0943-RTN-0165,PROD-0943,RTN-0165,INSPECTED,5
TWIN-PROD-0138-RTN-0166,PROD-0138,RTN-0166,INSPECTED,0
TWIN-PROD-0528-RTN-0167,PROD-0528,RTN-0167,INSPECTED,0
TWIN-PROD-0593-RTN-0168,PROD-0593,RTN-0168,INSPECTED,0
TWIN-PROD-0012-RTN-0169,PROD-0012,RTN-0169,INSPECTED,2
TWIN-PROD-0163-RTN-0170,PROD-0163,RTN-0170,INSPECTED,0
TWIN-PROD-0316-RTN-0171,PROD-0316,RTN-0171,INSPECTED,0
TWIN-PROD-0575-RTN-0172,PROD-0575,RTN-0172,INSPECTED,0
TWIN-PROD-0655-RTN-0173,PROD-0655,RTN-0173,INSPECTED,0
TWIN-PROD-0278-RTN-0174,PROD-0278,RTN-0174,INSPECTED,0
TWIN-PROD-0435-RTN-0175,PROD-0435,RTN-0175,INSPECTED,0
TWIN-PROD-0514-RTN-0176,PROD-0514,RTN-0176,INSPECTED,3
TWIN-PROD-0939-RTN-0177,PROD-0939,RTN-0177,INSPECTED,3
TWIN-PROD-0721-RTN-0178,PROD-0721,RTN-0178,INSPECTED,1
TWIN-PROD-0295-RTN-0179,PROD-0295,RTN-0179,INSPECTED,0
TWIN-PROD-0264-RTN-0180,PROD-0264,RTN-0180,INSPECTED,6
TWIN-PROD-0175-RTN-0181,PROD-0175,RTN-0181,INSPECTED,0
TWIN-PROD-0936-RTN-0182,PROD-0936,RTN-0182,INSPECTED,0
TWIN-PROD-0739-RTN-0183,PROD-0739,RTN-0183,INSPECTED,0
TWIN-PROD-0728-RTN-0184,PROD-0728,RTN-0184,INSPECTED,6
TWIN-PROD-0409-RTN-0185,PROD-0409,RTN-0185,INSPECTED,0
TWIN-PROD-0625-RTN-0186,PROD-0625,RTN-0186,INSPECTED,9
TWIN-PROD-0748-RTN-0187,PROD-0748,RTN-0187,INSPECTED,0
TWIN-PROD-0158-RTN-0188,PROD-0158,RTN-0188,INSPECTED,1
TWIN-PROD-0337-RTN-0189,PROD-0337,RTN-0189,INSPECTED,7
TWIN-PROD-0880-RTN-0190,PROD-0880,RTN-0190,INSPECTED,0
TWIN-PROD-0669-RTN-0191,PROD-0669,RTN-0191,INSPECTED,0
TWIN-PROD-0771-RTN-0192,PROD-0771,RTN-0192,INSPECTED,0
TWIN-PROD-0012-RTN-0193,PROD-0012,RTN-0193,INSPECTED,0
TWIN-PROD-0235-RTN-0194,PROD-0235,RTN-0194,INSPECTED,0
TWIN-PROD-0414-RTN-0195,PROD-0414,RTN-0195,INSPECTED,0
TWIN-PROD-0721-RTN-0196,PROD-0721,RTN-0196,INSPECTED,9
TWIN-PROD-0600-RTN-0197,PROD-0600,RTN-0197,INSPECTED,1
TWIN-PROD-0680-RTN-0198,PROD-0680,RTN-0198,INSPECTED,0
TWIN-PROD-0009-RTN-0199,PROD-0009,RTN-0199,INSPECTED,0
TWIN-PROD-0616-RTN-0200,PROD-0616,RTN-0200,INSPECTED,6
TWIN-PROD-0942-RTN-0201,PROD-0942,RTN-0201,INSPECTED,0
TWIN-PROD-0559-RTN-0202,PROD-0559,RTN-0202,INSPECTED,10
TWIN-PROD-0239-RTN-0203,PROD-0239,RTN-0203,INSPECTED,5
TWIN-PROD-0684-RTN-0204,PROD-0684,RTN-0204,INSPECTED,0
TWIN-PROD-0573-RTN-0205,PROD-0573,RTN-0205,INSPECTED,0
TWIN-PROD-0721-RTN-0206,PROD-0721,RTN-0206,INSPECTED,3
TWIN-PROD-0900-RTN-0207,PROD-0900,RTN-0207,INSPECTED,0
TWIN-PROD-0869-RTN-0208,PROD-0869,RTN-0208,INSPECTED,0
TWIN-PROD-0118-RTN-0209,PROD-0118,RTN-0209,INSPECTED,3
TWIN-PROD-0991-RTN-0210,PROD-0991,RTN-0210,INSPECTED,7
TWIN-PROD-0173-RTN-0211,PROD-0173,RTN-0211,INSPECTED,4
TWIN-PROD-0650-RTN-0212,PROD-0650,RTN-0212,INSPECTED,0
TWIN-PROD-0718-RTN-0213,PROD-0718,RTN-0213,INSPECTED,0
TWIN-PROD-0608-RTN-0214,PROD-0608,RTN-0214,INSPECTED,0
TWIN-PROD-0401-RTN-0215,PROD-0401,RTN-0215,INSPECTED,5
TWIN-PROD-0353-RTN-0216,PROD-0353,RTN-0216,INSPECTED,6
TWIN-PROD-0173-RTN-0217,PROD-0173,RTN-0217,INSPECTED,8
TWIN-PROD-0493-RTN-0218,PROD-0493,RTN-0218,INSPECTED,0
TWIN-PROD-0330-RTN-0219,PROD-0330,RTN-0219,INSPECTED,0
TWIN-PROD-0396-RTN-0220,PROD-0396,RTN-0220,INSPECTED,0
TWIN-PROD-0818-RTN-0221,PROD-0818,RTN-0221,INSPECTED,0
TWIN-PROD-0124-RTN-0222,PROD-0124,RTN-0222,INSPECTED,6
TWIN-PROD-0012-RTN-0223,PROD-0012,RTN-0223,INSPECTED,0
TWIN-PROD-0546-RTN-0224,PROD-0546,RTN-0224,INSPECTED,0
TWIN-PROD-0984-RTN-0225,PROD-0984,RTN-0225,INSPECTED,0
TWIN-PROD-0741-RTN-0226,PROD-0741,RTN-0226,INSPECTED,8
TWIN-PROD-0763-RTN-0227,PROD-0763,RTN-0227,INSPECTED,0
TWIN-PROD-0624-RTN-0228,PROD-0624,RTN-0228,INSPECTED,9
TWIN-PROD-0338-RTN-0229,PROD-0338,RTN-0229,INSPECTED,6
TWIN-PROD-0346-RTN-0230,PROD-0346,RTN-0230,INSPECTED,2
TWIN-PROD-0984-RTN-0231,PROD-0984,RTN-0231,INSPECTED,0
TWIN-PROD-0105-RTN-0232,PROD-0105,RTN-0232,INSPECTED,0
TWIN-PROD-0316-RTN-0233,PROD-0316,RTN-0233,INSPECTED,10
TWIN-PROD-0991-RTN-0234,PROD-0991,RTN-0234,INSPECTED,2
TWIN-PROD-0728-RTN-0235,PROD-0728,RTN-0235,INSPECTED,0
TWIN-PROD-0446-RTN-0236,PROD-0446,RTN-0236,INSPECTED,0
TWIN-PROD-0442-RTN-0237,PROD-0442,RTN-0237,INSPECTED,4
TWIN-PROD-0532-RTN-0238,PROD-0532,RTN-0238,INSPECTED,8
TWIN-PROD-0006-RTN-0239,PROD-0006,RTN-0239,INSPECTED,0
TWIN-PROD-0165-RTN-0240,PROD-0165,RTN-0240,INSPECTED,0
TWIN-PROD-0863-RTN-0241,PROD-0863,RTN-0241,INSPECTED,8
TWIN-PROD-0210-RTN-0242,PROD-0210,RTN-0242,INSPECTED,0
TWIN-PROD-0956-RTN-0243,PROD-0956,RTN-0243,INSPECTED,0
TWIN-PROD-0412-RTN-0244,PROD-0412,RTN-0244,INSPECTED,0
TWIN-PROD-0189-RTN-0245,PROD-0189,RTN-0245,INSPECTED,0
TWIN-PROD-0685-RTN-0246,PROD-0685,RTN-0246,INSPECTED,0
TWIN-PROD-0487-RTN-0247,PROD-0487,RTN-0247,INSPECTED,0
TWIN-PROD-0263-RTN-0248,PROD-0263,RTN-0248,INSPECTED,0
TWIN-PROD-0555-RTN-0249,PROD-0555,RTN-0249,INSPECTED,0
TWIN-PROD-0504-RTN-0250,PROD-0504,RTN-0250,INSPECTED,6
TWIN-PROD-0806-RTN-0251,PROD-0806,RTN-0251,INSPECTED,4
TWIN-PROD-0620-RTN-0252,PROD-0620,RTN-0252,INSPECTED,1
TWIN-PROD-0932-RTN-0253,PROD-0932,RTN-0253,INSPECTED,0
TWIN-PROD-0932-RTN-0254,PROD-0932,RTN-0254,INSPECTED,0
TWIN-PROD-0711-RTN-0255,PROD-0711,RTN-0255,INSPECTED,5
TWIN-PROD-0505-RTN-0256,PROD-0505,RTN-0256,INSPECTED,0
TWIN-PROD-0950-RTN-0257,PROD-0950,RTN-0257,INSPECTED,0
TWIN-PROD-0037-RTN-0258,PROD-0037,RTN-0258,INSPECTED,5
TWIN-PROD-0740-RTN-0259,PROD-0740,RTN-0259,INSPECTED,9
TWIN-PROD-0600-RTN-0260,PROD-0600,RTN-0260,INSPECTED,3
TWIN-PROD-0377-RTN-0261,PROD-0377,RTN-0261,INSPECTED,3
TWIN-PROD-0297-RTN-0262,PROD-0297,RTN-0262,INSPECTED,0
TWIN-PROD-0274-RTN-0263,PROD-0274,RTN-0263,INSPECTED,8
TWIN-PROD-0648-RTN-0264,PROD-0648,RTN-0264,INSPECTED,0
TWIN-PROD-0282-RTN-0265,PROD-0282,RTN-0265,INSPECTED,5
TWIN-PROD-0379-RTN-0266,PROD-0379,RTN-0266,INSPECTED,2
TWIN-PROD-0788-RTN-0267,PROD-0788,RTN-0267,INSPECTED,0
TWIN-PROD-0393-RTN-0268,PROD-0393,RTN-0268,INSPECTED,0
TWIN-PROD-0763-RTN-0269,PROD-0763,RTN-0269,INSPECTED,0
TWIN-PROD-0760-RTN-0270,PROD-0760,RTN-0270,INSPECTED,5
TWIN-PROD-0571-RTN-0271,PROD-0571,RTN-0271,INSPECTED,9
TWIN-PROD-0221-RTN-0272,PROD-0221,RTN-0272,INSPECTED,7
TWIN-PROD-0911-RTN-0273,PROD-0911,RTN-0273,INSPECTED,0
TWIN-PROD-0769-RTN-0274,PROD-0769,RTN-0274,INSPECTED,0
TWIN-PROD-0301-RTN-0275,PROD-0301,RTN-0275,INSPECTED,0
TWIN-PROD-0569-RTN-0276,PROD-0569,RTN-0276,INSPECTED,0
TWIN-PROD-0729-RTN-0277,PROD-0729,RTN-0277,INSPECTED,0
TWIN-PROD-0625-RTN-0278,PROD-0625,RTN-0278,INSPECTED,7
TWIN-PROD-0443-RTN-0279,PROD-0443,RTN-0279,INSPECTED,0
TWIN-PROD-0680-RTN-0280,PROD-0680,RTN-0280,INSPECTED,0
TWIN-PROD-0165-RTN-0281,PROD-0165,RTN-0281,INSPECTED,0
TWIN-PROD-0048-RTN-0282,PROD-0048,RTN-0282,INSPECTED,1
TWIN-PROD-0138-RTN-0283,PROD-0138,RTN-0283,INSPECTED,5
TWIN-PROD-0218-RTN-0284,PROD-0218,RTN-0284,INSPECTED,0
TWIN-PROD-0949-RTN-0285,PROD-0949,RTN-0285,INSPECTED,0
TWIN-PROD-0233-RTN-0286,PROD-0233,RTN-0286,INSPECTED,0
TWIN-PROD-0899-RTN-0287,PROD-0899,RTN-0287,INSPECTED,0
TWIN-PROD-0954-RTN-0288,PROD-0954,RTN-0288,INSPECTED,0
TWIN-PROD-0128-RTN-0289,PROD-0128,RTN-0289,INSPECTED,0
